RUN	StressTest	stresstest	1561346327594	 	3.1.2
USER	100 requests - campaign	81	END	1561346329992	1561346344328
USER	100 requests - campaign	54	END	1561346329975	1561346344328
USER	100 requests - campaign	87	END	1561346329995	1561346344334
USER	100 requests - campaign	89	END	1561346329996	1561346344334
USER	100 requests - campaign	13	END	1561346329941	1561346344347
USER	100 requests - campaign	47	END	1561346329971	1561346344347
USER	100 requests - campaign	17	END	1561346329946	1561346344349
USER	100 requests - campaign	7	END	1561346329815	1561346344353
USER	100 requests - campaign	50	END	1561346329973	1561346344364
USER	100 requests - campaign	31	END	1561346329962	1561346344364
USER	100 requests - campaign	72	END	1561346329988	1561346344365
USER	100 requests - campaign	51	END	1561346329974	1561346344366
USER	100 requests - campaign	3	END	1561346329784	1561346344366
USER	100 requests - campaign	32	END	1561346329963	1561346344367
USER	100 requests - campaign	92	END	1561346329997	1561346344368
USER	100 requests - campaign	53	END	1561346329975	1561346344377
USER	100 requests - campaign	93	END	1561346329998	1561346344377
USER	100 requests - campaign	16	END	1561346329944	1561346344377
USER	100 requests - campaign	80	END	1561346329992	1561346344377
USER	100 requests - campaign	95	END	1561346329999	1561346344378
USER	100 requests - campaign	46	END	1561346329970	1561346344383
USER	100 requests - campaign	65	END	1561346329983	1561346344384
USER	100 requests - campaign	90	END	1561346329996	1561346344384
USER	100 requests - campaign	59	END	1561346329979	1561346344386
USER	100 requests - campaign	39	END	1561346329966	1561346344390
USER	100 requests - campaign	99	END	1561346330000	1561346344403
USER	100 requests - campaign	33	END	1561346329963	1561346344403
USER	100 requests - campaign	60	END	1561346329979	1561346344405
USER	100 requests - campaign	6	END	1561346329794	1561346344407
USER	100 requests - campaign	82	END	1561346329993	1561346344408
USER	100 requests - campaign	24	END	1561346329953	1561346344413
USER	100 requests - campaign	21	END	1561346329951	1561346344414
USER	100 requests - campaign	45	END	1561346329970	1561346344415
USER	100 requests - campaign	76	END	1561346329989	1561346344415
USER	100 requests - campaign	28	END	1561346329957	1561346344416
USER	100 requests - campaign	15	END	1561346329943	1561346344427
USER	100 requests - campaign	79	END	1561346329992	1561346344438
USER	100 requests - campaign	100	END	1561346330000	1561346344438
USER	100 requests - campaign	1	END	1561346329783	1561346344438
USER	100 requests - campaign	5	END	1561346329794	1561346344438
